misspelling,correct,edit_distance,len_diff
certionly,certainly,2,0
cortonle,certainly,4,-1
saconle,certainly,7,-2
saely,certainly,6,-4
sairlanle,certainly,6,0
saitly,certainly,5,-3
sald,certainly,7,-5
sale,certainly,7,-5
salt,certainly,7,-5
salte,certainly,8,-4
sant,certainly,7,-5
santel,certainly,7,-3
santly,certainly,6,-3
sartain,certainly,4,-2
sartenly,certainly,4,-1
sartuly,certainly,5,-2
satanly,certainly,4,-2
sate,certainly,8,-5
satery,certainly,7,-3
satl,certainly,7,-5
satld,certainly,7,-4
satutel,certainly,7,-2
seartenlly,certainly,5,1
seartenly,certainly,4,0
selete,certainly,8,-3
sentonler,certainly,6,0
serenly,certainly,4,-2
serntlny,certainly,5,-1
sertain,certainly,3,-2
sertainly,certainly,1,0
sertalee,certainly,5,-1
sertally,certainly,3,-1
sertanly,certainly,2,-1
sertarnly,certainly,2,0
sertenerly,certainly,5,1
sertenley,certainly,4,0
sertenlly,certainly,4,0
sertenly,certainly,3,-1
sertenty,certainly,4,-1
serteny,certainly,4,-2
serterenley,certainly,5,2
sertinly,certainly,2,-1
sertle,certainly,5,-3
sertly,certainly,4,-3
sertoly,certainly,4,-2
sertonley,certainly,4,0
sertonly,certainly,3,-1
set,certainly,7,-6
setainly,certainly,2,-1
setenley,certainly,5,-1
setenly,certainly,4,-2
setinly,certainly,3,-2
setnle,certainly,5,-3
shaley,certainly,7,-3
sintenle,certainly,6,-1
sirely,certainly,6,-3
sirtanley,certainly,4,0
sirtanly,certainly,3,-1
sitenly,certainly,5,-2
sitiat,certainly,7,-3
soltly,certainly,6,-3
sonteller,certainly,8,0
sortenley,certainly,5,0
sotonley,certainly,6,-1
sotoon,certainly,7,-3
srelkly,certainly,6,-2
srtaly,certainly,4,-3
srtnly,certainly,4,-3
sten,certainly,7,-5
steply,certainly,6,-3
sterle,certainly,7,-3
suntle,certainly,7,-3
surdly,certainly,6,-3
surtenly,certainly,4,-1
surty,certainly,6,-4
sutaley,certainly,6,-2
sutenend,certainly,8,-1
sutenly,certainly,5,-2
sutle,certainly,7,-4
sutney,certainly,6,-3
sutnly,certainly,5,-3
suttanly,certainly,4,-1
taing,certainly,5,-4
tearling,certainly,6,-1
certifacite,certificate,2,0
citificate,certificate,2,-1
ceriticate's,certificates,3,0
cerstificates,certificates,1,1
seticates,certificates,4,-3
chan,chain,1,-1
chane,chain,2,0
char,chair,1,-1
chiar,chair,2,0
chair leg,chair-leg,1,0
chairmen,chairman,1,0
chiar's,chairs,3,1
chirs,chairs,1,-1
chork,chalk,2,0
chalange,challenge,2,-1
chalenge,challenge,1,-1
challange,challenge,1,0
chalenges,challenges,1,-1
campion,champion,1,-1
champian,champion,1,0
chac,chance,2,-2
chanch,chance,1,0
change,chance,1,0
chang,change,1,-1
changable,changeable,1,-1
chaned,changed,1,-1
change,changed,1,-1
changeing,changing,1,1
chnaging,changing,2,0
chanel,channel,1,-1
channal,channel,1,0
chapal,chapel,1,0
chaple,chapel,2,0
chapple,chapel,2,1
capter,chapter,1,-1
captur,chapter,2,-1
capture,chapter,3,0
chapder,chapter,1,0
chaper,chapter,1,-1
chaphter,chapter,1,1
chaptor,chapter,1,0
chaptur,chapter,1,0
chapture,chapter,2,1
chater,chapter,1,-1
eafter,chapter,3,-1
traper,chapter,3,-1
caracter,character,1,-1
charcter,character,1,-1
characterissing,characterizing,2,1
character,characters,1,-1
charaty,charity,1,0
chace,chase,1,0
chating,chatting,1,-1
chauffer,chauffeur,1,-1
chauffuer,chauffeur,2,0
chauffers,chauffeurs,1,-1
cheep,cheap,1,0
cheeper,cheaper,1,0
cheper,cheaper,1,-1
cheet,cheat,1,0
chet,cheat,1,-1
chack,check,1,0
cheak,check,1,0
cheke,check,2,0
chacked,checked,1,0
cheak,cheek,1,0
chek,cheek,1,-1
cheaky,cheeky,1,0
chair,cheer,2,0
chear,cheer,1,0
chearful,cheerful,1,0
cheerfull,cheerful,1,1
chease,cheese,1,0
chees,cheese,1,-1
chemicall,chemical,1,1
Chemistrey,chemistry,1,1
Remestray,chemistry,4,0
Remestry,chemistry,3,-1
Remistry,chemistry,2,-1
Renestri,chemistry,5,-1
camipul,chemistry,6,-2
canistry,chemistry,3,-1
cemastraye,chemistry,4,1
cemastry,chemistry,2,-1
cemesteries,chemistry,6,2
cemestrey,chemistry,3,0
cemestry,chemistry,2,-1
cemistery,chemistry,2,0
cemistry,chemistry,1,-1
cemisty,chemistry,2,-2
cemitry,chemistry,2,-2
cemmistry,chemistry,2,0
cenestry,chemistry,3,-1
cenetry,chemistry,4,-2
cenistric,chemistry,4,0
cestry,chemistry,3,-3
chemastry,chemistry,1,0
chemestary,chemistry,2,1
chemestery,chemistry,2,1
chemestra,chemistry,2,0
chemestri,chemistry,2,0
chemestry,chemistry,1,0
chemicols,chemistry,4,0
chemictic,chemistry,3,0
chemictry,chemistry,1,0
chemicy,chemistry,3,-2
chemishter,chemistry,3,1
chemistery,chemistry,1,1
chemistes,chemistry,2,0
chemistny,chemistry,1,0
chemistre,chemistry,1,0
chemoctry,chemistry,2,0
chemsitry,chemistry,2,0
chemstrey,chemistry,2,0
chemstry,chemistry,1,-1
comistry,chemistry,2,-1
cremistery,chemistry,2,1
cremistry,chemistry,1,0
cumastrey,chemistry,4,0
ehemc,chemistry,6,-4
gymestry,chemistry,4,-1
pemestry,chemistry,3,-1
secematrie,chemistry,7,1
cheres,cherries,2,-2
cherry's,cherries,2,0
cherrys,cherries,2,-1
cheery,cherry,1,0
chery,cherry,1,-1
cheast,chest,1,1
chiken,chicken,1,-1
chikens,chickens,1,-1
chiking,chickens,3,-1
cheif,chief,2,0
cild,child,1,-1
cene,children,6,-4
chensned,children,5,0
cheon,children,5,-3
cherden,children,3,-1
chiandn,children,4,-1
chiden,children,2,-2
chidren,children,1,-1
child,children,3,-3
childen,children,1,-1
childon,children,2,-1
childran,children,1,0
childre,children,1,-1
childrend,children,1,1
childres,children,1,0
childrn,children,1,-1
chilldren,children,1,1
chinedew,children,4,0
chirden,children,2,-1
choeden,children,3,-1
chraner,children,5,-1
chridren,children,2,0
cildren,children,1,-1
clderen,children,3,-1
cligren,children,3,-1
clraner,children,6,-1
chimmey,chimney,1,0
chimmy,chimney,2,-1
chimny,chimney,1,-1
chimnies,chimneys,2,0
chen,chin,1,0
chocalate,chocolate,1,0
choclate,chocolate,1,-1
chocolat,chocolate,1,-1
chocalates,chocolates,1,0
choise,choice,1,0
chose,choice,2,-1
choises,choices,1,0
chior,choir,2,0
cowi,choir,3,-1
quire,choir,4,0
choir boy,choirboy,1,1
cas,choose,4,-3
cheoos,choose,2,0
chese,choose,2,-1
chews,choose,3,-1
choos,choose,1,-1
chose,choose,1,-1
chosse,choose,1,0
chouse,choose,1,0
chuse,choose,2,-1
cosi,choose,3,-2
cueser,choose,4,0
test,choose,5,-2
tose,choose,3,-2
trus,choose,5,-2
tues,choose,5,-2
tulls,choose,5,-1
tuse,choose,4,-2
chosing,choosing,1,-1
cape,chop,3,0
car,chop,3,-1
cat,chop,3,-1
chap,chop,1,0
cheun,chop,3,1
chok,chop,1,0
chope,chop,1,1
chopp,chop,1,1
chup,chop,1,0
churp,chop,2,1
cmp,chop,2,-1
cob,chop,2,-1
coop,chop,1,0
cop,chop,1,-1
cope,chop,2,0
coppe,chop,3,1
copt,chop,2,0
cork,chop,3,0
corp,chop,2,0
folloch,chop,6,3
gonorp,chop,4,2
gop,chop,2,-1
hop,chop,1,-1
hope,chop,2,0
japer,chop,5,1
jop,chop,2,-1
kop,chop,2,-1
lanc,chop,4,0
loinp,chop,4,1
mary,chop,4,0
oopt,chop,3,0
shoop,chop,2,1
shop,chop,1,0
shoper,chop,3,2
thop,chop,1,0
top,chop,2,-1
tope,chop,3,0
trep,chop,3,0
trpo,chop,4,0
wop,chop,2,-1
yaop,chop,2,0
choice,chose,2,1
choose,chose,1,1
choose,chosen,2,0
choosen,chosen,1,1
chose,chosen,1,-1
chrisanthimums,chrysanthemums,2,0
cherch,church,1,0
cherth,church,2,0
chirch,church,1,0
church operated,church-operated,1,0
churchs,churches,1,-1
cigaret,cigarette,2,-2
cincinatti,cincinnati,2,0
cinama,cinema,1,0
circul,circle,2,0
sircul,circle,3,0
calin,circling,4,-3
carling,circling,2,-1
cercling,circling,1,0
cercoling,circling,2,1
cerculing,circling,2,1
cicleing,circling,2,0
cierciling,circling,2,2
circarling,circling,2,2
circeling,circling,1,1
circiling,circling,1,1
circleing,circling,1,1
circleling,circling,2,2
circulering,circling,3,3
circuling,circling,1,1
circurling,circling,2,2
circurting,circling,3,2
cirlcing,circling,2,0
cirleing,circling,2,0
cirue,circling,5,-3
ciruling,circling,1,0
citclear,circling,4,0
cloing,circling,4,-2
crciling,circling,2,0
critying,circling,4,0
curcling,circling,1,0
curculing,circling,2,1
curing,circling,3,-2
curling,circling,2,-1
ranging,circling,5,-1
sagling,circling,4,-1
sarcling,circling,2,0
sarclying,circling,3,1
satter,circling,8,-2
sclicking,circling,4,1
secling,circling,3,-1
seculing,circling,4,0
sercling,circling,2,0
sergleing,circling,4,1
serkerly,circling,7,0
serking,circling,4,-1
shilling,circling,4,0
shiting,circling,5,-1
sicling,circling,2,-1
sieing,circling,4,-2
sirling,circling,2,-1
socling,circling,3,-1
soil,circling,7,-4
stillende,circling,7,1
surcing,circling,3,-1
surcling,circling,2,0
surculing,circling,3,1
surkling,circling,3,0
surrling,circling,3,0
surtuling,circling,4,1
swercling,circling,3,1
cercular,circular,1,0
curcular,circular,1,0
cerculation,circulation,1,0
curculation,circulation,1,0
curcumstance,circumstance,1,0
curcus,circus,1,0
sistern,cistern,1,0
cites,cities,1,-1
citys,cities,2,-1
cisting,citing,1,1
citezen,citizen,1,0
citisen,citizen,1,0
ciets,city,2,1
cifye,city,2,1
cist,city,2,0
cite,city,1,0
citty,city,1,1
conny,city,3,1
sace,city,4,0
sece,city,4,0
serat,city,5,1
set,city,3,-1
setey,city,3,1
sied,city,3,0
siety,city,2,1
site,city,2,0
sitee,city,3,1
siter,city,3,1
sitty,city,2,1
sity,city,1,0
cival,civil,1,0
civilazation,civilization,1,0
civilations,civilizations,2,-2
civalized,civilized,1,0
civerlized,civilized,2,1
clame,claim,2,0
clape,clap,1,1
klap,clap,1,0
claped,clapped,1,-1
clars,class,1,0
clas,class,1,-1
glass,class,1,0
classes,class's,1,0
class mates,classmates,1,1
clases,classes,1,-1
class,classes,2,-2
classe's,classes,1,1
glasses,classes,1,0
class-room,classroom,1,1
class room,classroom,1,1
classrome,classroom,2,0
glass room,classroom,2,1
class rooms,classroom's,2,0
clarooms,classrooms,2,-2
class-rooms,classrooms,1,1
class room,classrooms,2,0
class rooms,classrooms,1,1
classroom,classrooms,1,-1
clos room,classrooms,3,-1
glass-rooms,classrooms,2,1
claws,clause,2,-1
causes,clauses,1,-1
clen,clean,1,-1
clean smelling,clean-smelling,1,0
clean,cleaned,2,-2
cleand,cleaned,1,-1
clend,cleaned,2,-2
clening,cleaning,1,-1
claer,clear,2,0
clard,cleared,2,-2
clered,cleared,1,-1
cleary,clearly,1,-1
clearical,clerical,1,1
clark,clerk,1,0
cleark,clerk,1,1
clerck,clerk,1,1
cleaver,clever,1,1
cleva,clever,2,-1
cleint,client,2,0
climet,climate,2,-1
climatoligists,climatologists,1,0
cilme,climb,3,0
claim,climb,2,0
clam,climb,2,-1
cliam,climb,2,0
clim,climb,1,-1
climbe,climb,1,1
clime,climb,1,0
climer,climb,2,1
cline,climb,2,0
clumb,climb,1,0
limer,climb,3,0
climed,climbed,1,-1
glimers,climbers,2,-1
climing,climbing,1,-1
climming,climbing,1,0
killing,climbing,4,-1
clock,cloak,1,0
cloak room,cloakroom,1,1
cloackrooms,cloakrooms,1,1
cloak rooms,cloakrooms,1,1
clock rooms,cloakrooms,2,1
clockrooms,cloakrooms,1,0
clok,clock,1,-1
clos,close,1,-1
closd,closed,1,-1
closly,closely,1,-1
closeing,closing,1,1
clath,cloth,1,0
colth,cloth,2,0
cloth,clothe,1,-1
cloths,clothes,1,-1
clows,clothes,3,-2
clothes,cloths,1,1
cloued,cloud,1,1
clowd,cloud,1,0
cloweds,clouds,2,1
clody,cloudy,1,-1
cloun,clown,1,0
clob,club,1,0
clubed,clubbed,1,-1
com,co.,1,0
comp.,co.,2,2
choach,coach,1,1
coache,coach,1,1
coch,coach,1,-1
couch,coach,1,0
coach load,coach-load,1,0
cole,coal,2,0
cool,coal,1,0
coalesed,coalesced,1,-1
case,coarse,2,-2
caurse,coarse,2,0
cause,coarse,2,-1
coase,coarse,1,-1
coorse,coarse,1,0
corce,coarse,2,-1
corces,coarse,3,0
cors,coarse,2,-2
corse,coarse,1,-1
coruse,coarse,2,0
cosce,coarse,3,-1
cough,coarse,4,-1
cours,coarse,2,-1
course,coarse,1,0
couse,coarse,2,-1
crose,coarse,3,-1
curse,coarse,2,-1
cost,coast,1,-1
cot,coat,1,-1
coots,coats,1,0
ch,cochlea,5,-5
coca,cocoa,1,-1
coco,cocoa,1,-1
coeffcient,coefficient,1,-1
coeficient,coefficient,1,-1
cofficient,coefficient,1,-1
coeece,coerce,1,0
cofee,coffee,1,-1
coffe,coffee,1,-1
coffer,coffee,1,0
cogntive,cognitive,1,-1
coherant,coherent,1,0
cald,cold,1,0
colosium,coliseum,2,0
colloges,collages,1,0
collasped,collapsed,2,0
collor,collar,1,0
colate,collate,1,-1
Rolateral,collateral,2,-1
aclateral,collateral,3,-1
caladeral,collateral,3,-1
caladral,collateral,4,-2
caladual,collateral,5,-2
calartral,collateral,4,-1
calateral,collateral,2,-1
calateralal,collateral,4,1
calaterial,collateral,3,0
calaterral,collateral,3,0
calatteral,collateral,3,0
calatural,collateral,3,-1
calerateral,collateral,3,1
callateral,collateral,1,0
callaterial,collateral,2,1
callatteral,collateral,2,1
callatural,collateral,2,0
calleteral,collateral,2,0
calletural,collateral,3,0
caloralerel,collateral,5,1
challateral,collateral,2,1
clateral,collateral,2,-2
clatreal,collateral,4,-2
co-laborate,collateral,5,1
co-lateral,collateral,1,0
co-olateral,collateral,2,1
co laterial,collateral,2,1
coalateral,collateral,1,0
coallateral,collateral,1,1
coateral,collateral,2,-2
coladaro,collateral,5,-2
coladderal,collateral,3,0
coladerall,collateral,3,0
colanderal,collateral,3,0
colanderual,collateral,4,1
colarlial,collateral,4,-1
colarltal,collateral,4,-1
colarteroul,collateral,4,1
colataral,collateral,2,-1
colateal,collateral,2,-2
colateral,collateral,1,-1
colaterole,collateral,3,0
colatoral,collateral,2,-1
colatteral,collateral,2,0
colatule,collateral,5,-2
colatural,collateral,2,-1
colaveral,collateral,2,-1
coledural,collateral,4,-1
colelatral,collateral,2,0
colladeral,collateral,1,0
colladural,collateral,2,0
collarteral,collateral,1,1
collatarel,collateral,2,0
collatera,collateral,1,-1
collaterial,collateral,1,1
collateroul,collateral,2,1
collatertrat,collateral,3,2
collatoral,collateral,1,0
collatral,collateral,1,-1
collatteral,collateral,1,1
collitoral,collateral,2,0
colloratial,collateral,4,1
coloratal,collateral,4,-1
conral,collateral,5,-4
coolateral,collateral,1,0
coolaterel,collateral,2,0
coolaterial,collateral,2,1
coolatteral,collateral,2,1
coradioral,collateral,5,0
coratualy,collateral,5,-1
corradul,collateral,6,-2
corrateally,collateral,5,1
cotaturall,collateral,4,0
couladeral,collateral,2,0
cradial,collateral,6,-3
culateral,collateral,2,-1
culatural,collateral,3,-1
cullateral,collateral,1,0
cullatorial,collateral,3,1
later,collateral,5,-5
qualateral,collateral,3,0
qualatirol,collateral,5,0
qualetteral,collateral,5,1
qulateral,collateral,3,-1
colect,collect,1,-1
collecyting,collecting,1,1
colection,collection,1,-1
coletion,collection,2,-2
colecks,collects,2,-1
collage,college,1,0
colledge,college,1,1
caral,colonel,5,-2
carnail,colonel,5,0
carnal,colonel,4,-1
cenral,colonel,5,-1
cernal,colonel,4,-1
cernall,colonel,5,0
cernel,colonel,3,-1
cernol,colonel,4,-1
colenel,colonel,1,0
colinal,colonel,2,0
colmel,colonel,2,-1
colnel,colonel,1,-1
colneol,colonel,2,0
colnol,colonel,2,-1
colonal,colonel,1,0
colonl,colonel,1,-1
colonol,colonel,1,0
conail,colonel,4,-1
conel,colonel,2,-2
conelle,colonel,4,0
conelnel,colonel,3,1
conler,colonel,4,-1
connel,colonel,2,-1
conte,colonel,4,-2
cornal,colonel,3,-1
cornale,colonel,4,0
cornel,colonel,2,-1
counel,colonel,2,-1
counol,colonel,3,-1
cournal,colonel,3,0
cournel,colonel,2,0
cunule,colonel,5,-1
curanat,colonel,5,0
curnail,colonel,5,0
curnal,colonel,4,-1
curnale,colonel,5,0
curnel,colonel,3,-1
curni,colonel,5,-2
gernal,colonel,5,-1
kernal,colonel,5,-1
kernel,colonel,4,-1
koncley,colonel,5,0
coloney,colony,1,1
collosal,colossal,2,0
collosus,colossus,2,0
colar,colour,2,-1
coler,colour,2,-1
color,colour,1,-1
coular,colour,3,0
colerd,coloured,3,-2
colered,coloured,2,-1
colored,coloured,1,-1
colour,coloured,2,-2
colourfull,colourful,1,1
calers,colours,3,-1
cold,colt,1,0
coloumn,column,1,1
colum,column,1,-1
colume,column,1,0
come,comb,1,0
combanation,combination,1,0
combination,combinations,1,-1
comibine,combine,1,1
cam,come,2,-1
com,come,1,-1
coms,comes,1,-1
comefort,comfort,1,1
confort,comfort,1,0
cab,comfortable,8,-8
cabe,comfortable,7,-7
caf,comfortable,9,-8
cafel,comfortable,8,-6
camfortible,comfortable,2,0
carefully,comfortable,9,-2
carfterb,comfortable,8,-3
carfubl,comfortable,7,-4
carpeat,comfortable,9,-4
caufully,comfortable,8,-3
cofatable,comfortable,3,-2
cofertoble,comfortable,3,-1
cofortlbe,comfortable,3,-2
coft,comfortable,7,-7
coftalb,comfortable,5,-4
cofter,comfortable,7,-5
coftobl,comfortable,5,-4
comable,comfortable,4,-4
comalbe,comfortable,6,-4
comefortable,comfortable,1,1
comfarable,comfortable,2,-1
comfartable,comfortable,1,0
comfatable,comfortable,2,-1
comfatble,comfortable,3,-2
comfdeble,comfortable,4,-2
comfedebull,comfortable,6,0
comfentenl,comfortable,5,-1
comferful,comfortable,5,-2
comfertable,comfortable,1,0
comferteble,comfortable,2,0
comfertel,comfortable,4,-2
comfetable,comfortable,2,-1
comflulde,comfortable,6,-2
comfon,comfortable,6,-5
comforable,comfortable,1,-1
comforble,comfortable,2,-2
comforbull,comfortable,4,-1
comforlable,comfortable,1,0
comfort,comfortable,4,-4
comfortal,comfortable,2,-2
comfortble,comfortable,1,-1
comfortbly,comfortable,2,-1
comfortbole,comfortable,2,0
comfortile,comfortable,2,-1
comfortl,comfortable,3,-3
comfortle,comfortable,2,-2
comfortly,comfortable,3,-2
comfortoble,comfortable,1,0
comfortuble,comfortable,1,0
comfotable,comfortable,1,-1
comftable,comfortable,2,-2
comfteble,comfortable,3,-2
comfterbel,comfortable,6,-1
comfterbull,comfortable,6,0
compertable,comfortable,2,0
competaby,comfortable,5,-2
comportable,comfortable,1,0
comteble,comfortable,4,-3
comterble,comfortable,4,-2
comterfull,comfortable,6,-1
comtorble,comfortable,3,-2
comvertbly,comfortable,4,-1
conbur,comfortable,8,-5
confertable,comfortable,2,0
confortable,comfortable,1,0
conftble,comfortable,4,-3
conghe,comfortable,8,-5
contidle,comfortable,6,-3
cotfull,comfortable,7,-4
coufedbe,comfortable,6,-3
couthbel,comfortable,7,-3
covefer,comfortable,8,-4
coverterly,comfortable,6,-1
coveterble,comfortable,6,-1
cudful,comfortable,8,-5
cufe,comfortable,8,-7
cufepl,comfortable,8,-5
cumfeterible,comfortable,6,1
cunfitl,comfortable,7,-4
cunt,comfortable,9,-7
cuvtelle,comfortable,7,-3
domfordion,comfortable,6,-1
kufed,comfortable,10,-6
kufly,comfortable,9,-6
commical,comical,1,1
cameing,coming,2,1
cming,coming,1,-1
come,coming,3,-2
comeing,coming,1,1
comieg,coming,1,0
comin,coming,1,-1
comming,coming,1,1
cumin,coming,2,-1
cuming,coming,1,0
cumming,coming,2,1
going,coming,2,-1
goming,coming,1,0
comand,command,1,-1
commaunded,commanded,1,1
comence,commence,1,-1
commense,commence,1,0
commencment,commencement,1,-1
coments,comments,1,-1
comerce,commerce,1,-1
come,commercial,6,-6
comercial,commercial,1,-1
comersial,commercial,2,-1
cpmmercially,commercially,1,0
commision,commission,1,-1
commisioner,commissioner,1,-1
comit,commit,1,-1
committment,commitment,1,1
committments,commitments,1,1
camdid,committed,5,-3
cometad,committed,4,-2
comit,committed,4,-4
comited,committed,2,-2
comitted,committed,1,-1
comittee,committed,2,-1
commet,committed,4,-3
commeted,committed,2,-1
commidded,committed,2,0
commided,committed,2,-1
commiety,committed,3,-1
comminty,committed,3,-1
commited,committed,1,-1
commitive,committed,3,0
committee,committed,1,0
committeed,committed,1,1
committied,committed,1,1
commtied,committed,2,-1
conmited,committed,2,-1
comittee,committee,1,-1
commitee,committee,1,-1
committe,committee,1,-1
commity,committee,3,-2
comettes,committees,3,-2
comimittees,committees,1,1
comintees,committees,2,-1
comittees,committees,1,-1
comittenets,committees,3,1
comitties,committees,2,-1
commenties,committees,3,0
commetees,committees,2,-1
commeties,committees,3,-1
commettee,committees,2,-1
commetties,committees,2,0
commieties,committees,2,0
commit,committees,4,-4
commitees,committees,1,-1
commities,committees,2,-1
committed,committees,2,-1
committee,committees,1,-1
committeies,committees,1,1
committes,committees,1,-1
committies,committees,1,0
committisgs,committees,3,1
committys,committees,2,-1
commitys,committees,3,-2
commotties,committees,2,0
commties,committees,3,-2
comtties,committees,3,-2
conitzes,committees,4,-2
coometes,committees,4,-2
commiting,committing,1,-1
comman,common,1,0
commem,common,2,0
comon,common,1,-1
con,common,3,-3
commenest,commonest,1,0
camunicate,communicate,2,-1
cemunicate,communicate,2,-1
comemunicate,communicate,1,1
commacate,communicate,3,-2
commamuicate,communicate,3,1
commenecate,communicate,2,0
commicate,communicate,2,-2
comminicate,communicate,1,0
comminucate,communicate,2,0
commuacate,communicate,2,-1
commucate,communicate,2,-2
commuciate,communicate,2,-1
commuicat,communicate,2,-2
commuicate,communicate,1,-1
commulicate,communicate,1,0
communacate,communicate,1,0
communcate,communicate,1,-1
communciate,communicate,2,0
communicat,communicate,1,-1
communicated,communicate,1,1
communitate,communicate,1,0
communitcate,communicate,1,1
community,communicate,3,-2
communtete,communicate,3,-1
communuate,communicate,2,-1
comoucate,communicate,3,-2
comuinicate,communicate,2,0
comunacat,communicate,3,-2
comunacate,communicate,2,-1
comuniate,communicate,2,-2
comunicat,communicate,2,-2
comunicate,communicate,1,-1
comuniciate,communicate,2,0
comunitate,communicate,2,-1
comuniting,communicate,5,-1
conculated,communicate,6,-1
conmikat,communicate,5,-3
conmunate,communicate,3,-2
connumcate,communicate,4,-1
conunicate,communicate,2,-1
cuminicate,communicate,3,-1
cummiate,communicate,4,-3
cummicate,communicate,3,-2
cummuate,communicate,4,-3
cummunicate,communicate,1,0
cumuncate,communicate,3,-2
communcation,communication,1,-1
communicate,communication,3,-2
comunication,communication,1,-1
comminites,communities,2,-1
caere,community,8,-4
comen,community,5,-4
comery,community,5,-3
cometer,community,6,-2
comety,community,4,-3
comittee,community,6,-1
commenity,community,1,0
commert,community,4,-2
commetey,community,4,-1
commity,community,2,-2
commonity,community,1,0
commuaity,community,1,0
commuat,community,3,-2
communtey,community,2,0
communty,community,1,-1
commuty,community,2,-2
compun,community,4,-3
comunat,community,3,-2
comunite,community,2,-1
comunity,community,1,-1
comunty,community,2,-2
comutery,community,4,-1
cumitey,community,5,-2
cumnete,community,5,-2
companys,companies,2,-1
compeny,company,1,0
compy,company,2,-2
comporable,comparable,1,0
comparitive,comparative,1,0
comaritialy,comparatively,4,-2
compairateley,comparatively,4,0
compairatively,comparatively,1,1
compairetly,comparatively,5,-2
compairly,comparatively,5,-4
comparatable,comparatively,4,-1
comparatably,comparatively,3,-1
comparately,comparatively,2,-2
comparativaly,comparatively,1,0
comparative,comparatively,2,-2
comparativeally,comparatively,2,2
comparativeley,comparatively,1,1
comparativelly,comparatively,1,1
comparativily,comparatively,1,0
comparativly,comparatively,1,-1
comparatly,comparatively,3,-3
compareativ,comparatively,4,-2
compareativally,comparatively,3,2
compareitively,comparatively,2,1
compareitivley,comparatively,4,1
comparetively,comparatively,1,0
comparetivily,comparatively,2,0
compariably,comparatively,4,-2
compariatively,comparatively,1,1
compariatvely,comparatively,2,0
comparifly,comparatively,4,-3
compariley,comparatively,4,-3
comparitably,comparatively,4,-1
comparitatively,comparatively,2,2
comparitavely,comparatively,2,0
comparitevely,comparatively,2,0
comparitevly,comparatively,3,-1
comparitively,comparatively,1,0
comparitivily,comparatively,2,0
comparitivle,comparatively,3,-1
comparitivly,comparatively,2,-1
comparitly,comparatively,4,-3
comparitolvily,comparatively,4,1
comparivily,comparatively,3,-2
comparrable,comparatively,6,-2
comparratively,comparatively,1,1
compartable,comparatively,5,-2
compartively,comparatively,1,-1
compartivilty,comparatively,3,0
compartivly,comparatively,2,-2
compartly,comparatively,4,-4
comparutvily,comparatively,3,-1
compatly,comparatively,5,-5
comperative,comparatively,3,-2
comperatively,comparatively,1,0
comprativly,comparatively,2,-2
conparablily,comparatively,5,-1
conparatively,comparatively,1,0
conparitivly,comparatively,3,-1
conpeut,comparatively,9,-6
parantively,comparatively,4,-2
compair,compare,2,0
compased,compared,1,0
comppared,compared,1,1
comparision,comparison,1,1
comparrison,comparison,1,1
compariosns,comparisons,2,0
compurs,compass,2,0
compell,compel,1,1
compeled,compelled,1,-1
conpendium,compendium,1,0
capadent,competent,4,-1
comcount,competent,4,-1
comentent,competent,2,0
comepitent,competent,2,1
cometent,competent,1,-1
commintent,competent,3,1
commpetent,competent,1,1
commpitate,competent,5,1
commpunted,competent,5,1
compaded,competent,4,-1
compadent,competent,2,0
compantant,competent,3,1
compatant,competent,2,0
compatent,competent,1,0
compe,competent,4,-4
compeinent,competent,2,1
compeltant,competent,2,1
compent,competent,2,-2
compentant,competent,2,1
compentent,competent,1,1
compeptent,competent,1,1
competant,competent,1,0
competed,competent,2,-1
competetent,competent,2,2
competient,competent,1,1
competitent,competent,2,2
competunt,competent,1,0
compietant,competent,2,1
compinent,competent,2,0
compitant,competent,2,0
compitate,competent,4,0
compitent,competent,1,0
compitite,competent,4,0
compitunt,competent,2,0
complement,competent,2,1
completant,competent,2,1
completent,competent,1,1
completment,competent,2,2
complied,competent,4,-1
compltent,competent,1,0
compodent,competent,2,0
compoment,competent,2,0
compontenty,competent,3,2
compontum,competent,5,0
compotent,competent,1,0
comptant,competent,2,-1
compuntant,competent,3,1
computant,competent,2,0
computent,competent,1,0
confidant,competent,5,0
confident,competent,4,0
conpetent,competent,1,0
conpunty,competent,5,-1
contemptable,competent,8,3
copement,competent,2,-1
copenent,competent,2,-1
coppentent,competent,2,1
counventens,competent,5,2
homponten,competent,4,0
compeating,competing,1,1
compertison,competition,3,0
compertition,competition,1,1
competion,competition,2,-2
compition,competition,2,-2
compitition,competition,1,0
compotison,competition,3,-1
compations,competitions,3,-2
competions,competitions,2,-2
complane,complain,2,0
complanig,complaining,2,-2
complant,complaint,1,-1
conpont,complaint,4,-2
complemantary,complementary,1,0
compleat,complete,2,0
compleated,completed,1,1
completly,completely,1,-1
complety,completely,2,-2
compet,completing,4,-4
complaning,completing,2,0
compleating,completing,1,1
compleation,completing,3,1
complecting,completing,1,1
completeing,completing,1,1
completting,completing,1,1
complting,completing,1,-1
commpletion,completion,1,1
commplishion,completion,4,2
compeltion,completion,2,0
competetion,completion,2,1
competion,completion,1,-1
comphison,completion,4,-1
complance,completion,5,-1
complation,completion,1,0
compleasian,completion,3,1
compleasion,completion,2,1
compleason,completion,2,0
compleation,completion,1,1
complecan,completion,3,-1
complechion,completion,2,1
